Country,Subtopic link,Status link,Status justification,iso_a3_eh
San Marino,Exemption from childhood vaccination requirement,Medical and non-medical exemptions,"Legislation specifies that medical and non-medical exemptions are allowed in this country. However, the law states that parents of unvaccinated children must purchase additional insurance to cover the cost of potential spread of disease due to their unvaccinated child. ",SMR
San Marino,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SMR
San Marino,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SMR
São Tomé and Príncipe,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. There is evidence that some states may have mandated vaccination, yet there is no national legislation requiring such immunizations. ",STP
São Tomé and Príncipe,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,STP
São Tomé and Príncipe,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,STP
São Tomé and Príncipe,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,STP
São Tomé and Príncipe,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",STP
Saudi Arabia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SAU
Saudi Arabia,Enforcement of childhood vaccination requirement,Legal sanctions,"Parents can face a criminal offense for failing to vaccinate their child with mandated vaccines in Saudi Arabia. Failure to vaccinate children is categorized as parental neglect and abuse, which may result in the removal of children from their care and/or further prosecution. ",SAU
Saudi Arabia,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,SAU
Saudi Arabia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SAU
Saudi Arabia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SAU
Senegal,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. There is evidence that some states may have mandated vaccination, yet there is no national legislation requiring such immunizations. ",SEN
Senegal,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SEN
Senegal,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SEN
Senegal,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SEN
Senegal,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SEN
Serbia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SRB
Serbia,Enforcement of childhood vaccination requirement,Legal sanctions,"Guardians face a misdemeanor and a fine between 30,000 - 150,000 Serbian dinars for failing to vaccinate their child with mandated vaccines in Serbia. ",SRB
Serbia,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,SRB
Serbia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SRB
Serbia,Enforcement of emergency vaccination,Legal sanctions,"Individuals face a misdemeanor and a fine between 30,000 - 150,000 Serbian dinars for failing to receive emergency vaccinations with mandated vaccines in Serbia. ",SRB
Seychelles,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. There is evidence that some states may have mandated vaccination, yet there is no national legislation requiring such immunizations. ",SYC
Seychelles,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SYC
Seychelles,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SYC
Seychelles,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SYC
Seychelles,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SYC
Sierra Leone,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. There is evidence that some states may have mandated vaccination, yet there is no national legislation requiring such immunizations. ",SLE
Sierra Leone,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SLE
Sierra Leone,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SLE
Sierra Leone,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SLE
Sierra Leone,Enforcement of emergency vaccination,Legal sanctions,"In Sierra Leone, citizens that refuse emergency vaccination will be fined 5,000 Leones. ",SLE
Singapore,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SGP
Singapore,Enforcement of childhood vaccination requirement,Legal sanctions,"Parents can face a criminal offense for failing to vaccinate their child with mandated vaccines in Singapore. At a first offense, parents will incur a fine of 500 Singapore Dollars, while a second offense leads to a fine of 1,000 Singapore Dollars. ",SGP
Singapore,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,SGP
Singapore,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SGP
Singapore,Enforcement of emergency vaccination,Legal sanctions,"Anyone that fails to receive an emergency vaccination can be fined up to $10,000 and jailed for up to 6 months. ",SGP
Slovakia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SVK
Slovakia,Enforcement of childhood vaccination requirement,Legal sanctions,Parents can face a criminal offense for failing to vaccinate their child with mandated vaccines in Slovakia. The fine for failing to receive a mandatory vaccination is 331 Euro. ,SVK
Slovakia,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,SVK
Slovakia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SVK
Slovakia,Enforcement of emergency vaccination,Legal sanctions,"A fine of up to 5,000 Euro may be imposed on an individual that fails to receive a mandatory emergency vaccination. ",SVK
Slovenia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SVN
Slovenia,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"Unvaccinated children without a medical exemption waiver can be excluded from schools in Slovenia. Additionally, parents of unvaccinated children can be fined anywhere from 400 to 4,000 Euros.  ",SVN
Slovenia,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,SVN
Slovenia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SVN
Slovenia,Enforcement of emergency vaccination,Legal sanctions,"Mandatory emergency vaccination is enforceable by a fine ranging from 4,000-100,000 Euros. ",SVN
Solomon Islands,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. There is evidence that some states may have mandated vaccination, yet there is no national legislation requiring such immunizations. ",SLB
Solomon Islands,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SLB
Solomon Islands,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SLB
Solomon Islands,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SLB
Solomon Islands,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SLB
Somalia,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. There is evidence that some states may have mandated vaccination, yet there is no national legislation requiring such immunizations. ",SOM
Somalia,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SOM
Somalia,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SOM
Somalia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SOM
Somalia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SOM
South Africa,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ZAF
South Africa,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ZAF
South Africa,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ZAF
South Africa,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ZAF
South Africa,Enforcement of emergency vaccination,No enforcement mechanisms,"While there is a legal requirement for individuals to be vaccinated in the face of appropriate epidemiological conditions, no enforcement mechanisms were identified in the legislation. ",ZAF
South Sudan,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SSD
South Sudan,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SSD
South Sudan,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SSD
South Sudan,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SSD
South Sudan,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SSD
Spain,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ESP
Spain,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ESP
Spain,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ESP
Spain,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ESP
Spain,Enforcement of emergency vaccination,No enforcement mechanisms,"While there is a legal requirement for individuals to be vaccinated in the face of appropriate epidemiological conditions, no enforcement mechanisms were identified in the legislation. ",ESP
Sri Lanka,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,LKA
Sri Lanka,Enforcement of childhood vaccination requirement,Legal sanctions,"In Sri Lanka, parents that fail to vaccinate their children against Smallpox can be fined up to 10 rupees. ",LKA
Sri Lanka,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,LKA
Sri Lanka,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,LKA
Sri Lanka,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",LKA
Sudan,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SDN
Sudan,Enforcement of childhood vaccination requirement,No enforcement mechanisms,"While there is a legal requirement for children to be vaccinated, no enforcement mechanisms were identified in the legislation. ",SDN
Sudan,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,SDN
Sudan,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SDN
Sudan,Enforcement of emergency vaccination,No enforcement mechanisms,"While there is a legal requirement for individuals to be vaccinated during an epidemic, no enforcement mechanisms were identified in the legislation. ",SDN
Suriname,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SUR
Suriname,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SUR
Suriname,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SUR
Suriname,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SUR
Suriname,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SUR
Sweden,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SWE
Sweden,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SWE
Sweden,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SWE
Sweden,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SWE
Sweden,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SWE
Switzerland,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CHE
Switzerland,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CHE
Switzerland,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CHE
Switzerland,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,CHE
Switzerland,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CHE
Syrian Arab Republic (Syria),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SYR
Syrian Arab Republic (Syria),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SYR
Syrian Arab Republic (Syria),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SYR
Syrian Arab Republic (Syria),Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SYR
Syrian Arab Republic (Syria),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",SYR
Tajikistan,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TJK
Tajikistan,Enforcement of childhood vaccination requirement,Social exclusion,Unvaccinated children without a medical exemption waiver can be excluded from schools in Tajikistan.,TJK
Tajikistan,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,TJK
Tajikistan,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TJK
Tajikistan,Enforcement of emergency vaccination,Legal sanctions,"In Tajikistan, citizens that refuse emergency vaccination may be prosecuted according to the Penal Code, though the specific penalty is undefined. ",TJK
Thailand,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,THA
Thailand,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,THA
Thailand,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,THA
Thailand,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,THA
Thailand,Enforcement of emergency vaccination,Legal sanctions,"In Thailand, citizens that refuse emergency vaccination may be subject to a fine of up to 20,000 Baht. ",THA
Timor-Leste,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TLS
Timor-Leste,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,TLS
Timor-Leste,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,TLS
Timor-Leste,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TLS
Timor-Leste,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",TLS
Togo,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TGO
Togo,Enforcement of childhood vaccination requirement,Legal sanctions,"In Togo, according to the Code of Public Health parents of unvaccinated children are subject to the punishment of family abandonment as outlined in the Penal Code, Article 83. This penalty is 1-3 years imprisonment, unless the child dies, at which point the sentence can increase to 5 years. ",TGO
Togo,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,TGO
Togo,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TGO
Togo,Enforcement of emergency vaccination,Legal sanctions,"In Togo, citizens that refuse emergency vaccination may be subject to a fine of 1-5 million CFA francs and imprisonment of 1-6 months. ",TGO
Trinidad and Tobago,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TTO
Trinidad and Tobago,Enforcement of childhood vaccination requirement,Social exclusion,"In Trinidad and Tobago, children that have not completed their mandatory vaccination schedule for their age may not be admitted to childcare or school settings. ",TTO
Trinidad and Tobago,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,TTO
Trinidad and Tobago,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TTO
Trinidad and Tobago,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",TTO
Tunisia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TUN
Tunisia,Enforcement of childhood vaccination requirement,No enforcement mechanisms,There is a legal requirement for children to be vaccinated but there are no legal enforcement mechanisms. ,TUN
Tunisia,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,TUN
Tunisia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TUN
Tunisia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",TUN
Türkiye (Turkey),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TUR
Türkiye (Turkey),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,TUR
Türkiye (Turkey),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,TUR
Türkiye (Turkey),Emergency vaccination authority,No emergency power to vaccinate,"While the government does reserve the right to order vaccinations in the event of an emergency, citizens have the right to refuse any of these ordered vaccinations. ",TUR
Türkiye (Turkey),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",TUR
Turkmenistan,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TKM
Turkmenistan,Enforcement of childhood vaccination requirement,Social exclusion,"In Turkmenistan, children that have not completed their mandatory vaccination schedule for their age may not be admitted to childcare or school settings. ",TKM
Turkmenistan,Exemption from childhood vaccination requirement,Medical and non-medical exemptions,Legislation specifies that medical and non-medical exemptions are allowed in this country. The law specifically states that citizens may refuse vaccination for any reason. ,TKM
Turkmenistan,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TKM
Turkmenistan,Enforcement of emergency vaccination,Legal sanctions,"In Turkmenistan, individuals that refuse mandatory emergency vaccinations may be prosecuted under the law, though the exact penalty is unclear. ",TKM
Tuvalu,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TUV
Tuvalu,Enforcement of childhood vaccination requirement,No enforcement mechanisms,There is a legal requirement for children to be vaccinated but there are no legal enforcement mechanisms. ,TUV
Tuvalu,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,TUV
Tuvalu,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TUV
Tuvalu,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",TUV
Uganda,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,UGA
Uganda,Enforcement of childhood vaccination requirement,Legal sanctions,"In Uganda, parents of unvaccinated children over one year of age can face a fine of up to 1,000,000 shillings and/or up to 3 months. ",UGA
Uganda,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,UGA
Uganda,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,UGA
Uganda,Enforcement of emergency vaccination,Legal sanctions,"In Uganda, citizens that refuse emergency vaccination will face a fine of 200 currency points, equal to 4,000,000 shillings, and/or jail time of up to six months. ",UGA
Ukraine,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,UKR
Ukraine,Enforcement of childhood vaccination requirement,Social exclusion,Unvaccinated children without a medical exemption waiver can be excluded from schools in Ukraine.,UKR
Ukraine,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,UKR
Ukraine,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,UKR
Ukraine,Enforcement of emergency vaccination,Legal sanctions,"In Ukraine, citizens that refuse emergency vaccination may be prosecuted according to the Penal Code, though the specific penalty is undefined. ",UKR
United Arab Emirates (UAE),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ARE
United Arab Emirates (UAE),Enforcement of childhood vaccination requirement,Legal sanctions,"In the UAE, parents of unvaccinated children will be fined between 5,000 and 20,000 dirhams. ",ARE
United Arab Emirates (UAE),Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,ARE
United Arab Emirates (UAE),Emergency vaccination authority,No emergency power to vaccinate,"While the government does reserve the right to order vaccinations in the event of an emergency, citizens have the right to refuse any of these ordered vaccinations. ",ARE
United Arab Emirates (UAE),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",ARE
United Kingdom of Great Britain and Northern Ireland (UK),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GBR
United Kingdom of Great Britain and Northern Ireland (UK),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GBR
United Kingdom of Great Britain and Northern Ireland (UK),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GBR
United Kingdom of Great Britain and Northern Ireland (UK),Emergency vaccination authority,No emergency power to vaccinate,"While the government does reserve the right to order vaccinations in the event of an emergency, citizens have the right to refuse any of these ordered vaccinations. ",GBR
United Kingdom of Great Britain and Northern Ireland (UK),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GBR
United Republic of Tanzania,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TZA
United Republic of Tanzania,Enforcement of childhood vaccination requirement,Social exclusion,"In Tanzania, children that do not have mandatory vaccinations may not be enrolled in schools until they have received all necessary vaccinations. ",TZA
United Republic of Tanzania,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,TZA
United Republic of Tanzania,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TZA
United Republic of Tanzania,Enforcement of emergency vaccination,Legal sanctions,"In Tanzania, individuals that refuse emergency vaccination will be fined 100,000 Shillings and sentenced to 3 months in prison. ",TZA
United States of America (USA),Childhood vaccination requirement,Childhood vaccination is required,"There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. In the United States, there are universal childhood vaccination laws at the state level. ",USA
United States of America (USA),Enforcement of childhood vaccination requirement,Social exclusion,"In the United States, across all 50 states, mandatory childhood vaccinations are enforced through social exclusion from some schools. The types of schools/congregate childhood settings from which unvaccinated children may be excluded, and degree of exclusion varies by state. ",USA
United States of America (USA),Exemption from childhood vaccination requirement,Medical and non-medical exemptions,"Legislation specifies that medical and non-medical exemptions are allowed in this country. In 43 of 50 states, students may be exempted from mandatory vaccinations if they present evidence of non-medical (religious or philosophical) motivations to refuse vaccination. ",USA
United States of America (USA),Emergency vaccination authority,Emergency power to vaccinate,"There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. In the United States, requirement for emergency vaccination falls under the Police Powers of each state. ",USA
United States of America (USA),Enforcement of emergency vaccination,Social exclusion,"Individuals that fail to comply with state emergency vaccination mandates may be excluded from normal societal interactions, such as employment restrictions and school exclusion. ",USA
Uruguay,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,URY
